Trial_Number,C_PARAM,DEPTH_LIMIT,PB_WEIGHT,TARGET_LENGTH,Target_Wins,Heuristic_Wins,Vanilla_Wins,Advance1_Wins,Draws,Avg_Survival_Score,Avg_Length_Score,Optuna_Composite_Score
0,2.917,11,5.345,20,5,8,5,2,0,0.316,0.317,0.366
1,2.826,11,14.721,11,3,5,8,3,1,0.32,0.325,0.351
2,2.99,8,14.463,12,8,6,2,4,0,0.364,0.446,0.461
3,2.666,14,3.456,18,3,5,4,8,0,0.297,0.296,0.327
4,1.718,13,9.212,9,2,7,4,7,0,0.383,0.408,0.408
5,0.574,13,12.589,9,5,5,5,5,0,0.362,0.388,0.417
6,1.162,13,3.95,17,7,5,5,3,0,0.324,0.358,0.401
7,1.077,11,8.798,16,5,3,9,3,0,0.354,0.421,0.418
8,1.881,11,9.377,11,3,9,3,5,0,0.337,0.375,0.375
9,0.532,14,6.758,18,4,4,5,6,1,0.303,0.354,0.354
10,2.277,7,12.131,13,4,7,4,5,0,0.405,0.454,0.455
11,2.296,7,12.337,13,3,7,3,7,0,0.339,0.325,0.366
12,2.318,6,14.556,14,4,7,4,5,0,0.344,0.363,0.388
13,2.356,8,11.848,12,2,11,2,5,0,0.345,0.35,0.366
14,1.913,9,11.024,14,2,7,8,3,0,0.301,0.317,0.324
15,2.573,9,13.68,8,4,7,6,3,0,0.343,0.413,0.397
16,1.542,6,10.36,15,4,7,5,4,0,0.378,0.408,0.424
17,2.961,16,7.182,11,4,10,5,1,0,0.236,0.242,0.277
18,2.108,9,13.003,13,5,5,5,4,1,0.357,0.329,0.401
19,2.562,7,10.899,10,3,7,3,7,0,0.296,0.304,0.328
20,1.468,8,13.702,13,3,7,4,6,0,0.357,0.375,0.39
21,1.452,6,10.805,15,6,5,6,3,0,0.49,0.579,0.567
22,1.487,7,11.526,15,4,7,6,3,0,0.33,0.354,0.375
23,1.212,6,10.168,15,3,8,6,3,0,0.383,0.421,0.421
24,2.064,8,13.158,12,3,5,7,5,0,0.396,0.358,0.419
25,0.94,10,7.646,16,5,7,5,3,0,0.4,0.375,0.445
26,1.741,7,14.752,12,6,8,3,3,0,0.406,0.396,0.464
27,1.707,6,14.922,12,7,3,4,5,1,0.414,0.496,0.5
28,1.656,6,14.98,10,3,7,7,3,0,0.428,0.496,0.472
29,1.348,6,2.127,10,7,4,4,5,0,0.393,0.433,0.471
30,0.95,6,5.346,20,7,5,5,3,0,0.394,0.412,0.468
31,1.345,6,2.313,10,3,7,5,5,0,0.361,0.412,0.401
32,1.633,6,5.758,10,5,5,6,4,0,0.385,0.425,0.443
33,1.315,7,14.987,8,4,4,8,4,0,0.428,0.471,0.476
34,1.869,7,14.999,8,2,7,6,5,0,0.38,0.383,0.4
35,1.316,8,14.019,9,7,7,4,2,0,0.444,0.454,0.516
36,0.785,10,13.845,9,1,10,5,4,0,0.342,0.396,0.363
37,1.243,8,14.077,8,5,5,8,2,0,0.34,0.35,0.392
38,1.392,8,13.106,9,5,3,9,3,0,0.408,0.5,0.476
39,1.065,10,13.261,9,5,5,7,3,0,0.328,0.363,0.385
40,0.718,12,12.721,18,2,8,5,5,0,0.368,0.358,0.386
41,1.422,8,14.189,8,6,3,6,5,0,0.363,0.412,0.433
42,1.571,7,13.482,9,3,4,5,8,0,0.352,0.362,0.384
43,1.33,9,12.55,9,4,7,4,5,0,0.385,0.388,0.425
44,1.145,7,11.401,11,3,6,6,5,0,0.325,0.362,0.362
45,1.821,8,14.339,16,7,5,5,3,0,0.417,0.483,0.5
46,1.821,9,9.525,16,3,9,3,5,0,0.321,0.362,0.359
47,2.02,12,14.304,17,5,5,5,4,1,0.38,0.358,0.426
48,1.744,10,12.129,14,5,7,3,5,0,0.406,0.429,0.461
49,1.633,8,14.211,17,7,6,6,1,0,0.446,0.546,0.536
