Trial_Number,C_PARAM,DEPTH_LIMIT,PB_WEIGHT,TARGET_LENGTH,Target_Wins,Heuristic_Wins,Vanilla_Wins,Advance3_Wins,Draws,Avg_Survival_Score,Avg_Length_Score,Optuna_Composite_Score
0,2.84,16,4.084,10,0,8,1,2,0,0.046,0.058,0.048
1,1.727,12,13.866,12,1,14,2,3,0,0.184,0.246,0.206
2,1.587,10,11.444,16,0,10,1,0,0,0.054,0.067,0.057
3,0.85,11,7.055,19,0,11,4,5,0,0.189,0.2,0.192
4,1.497,11,3.127,20,0,8,2,1,0,0.046,0.075,0.052
5,2.475,9,6.823,14,0,16,2,2,0,0.283,0.288,0.284
6,0.843,13,6.652,9,0,15,4,1,0,0.289,0.275,0.286
7,0.701,6,7.975,18,1,11,5,3,0,0.263,0.237,0.268
8,1.374,11,4.56,11,0,9,10,1,0,0.162,0.154,0.16
9,1.911,14,13.136,10,0,11,6,3,0,0.196,0.192,0.195
10,1.04,16,10.312,8,0,13,3,4,0,0.309,0.404,0.328
11,1.048,16,10.523,8,5,7,7,1,0,0.347,0.425,0.412
12,1.135,16,10.489,8,1,12,5,2,0,0.243,0.225,0.25
13,0.557,15,9.566,13,1,11,2,6,0,0.303,0.275,0.307
14,1.177,14,11.779,8,2,11,2,5,0,0.316,0.337,0.34
15,2.102,14,12.343,16,1,17,2,0,0,0.337,0.329,0.346
16,2.105,14,14.949,16,1,9,6,4,0,0.286,0.25,0.289
17,2.214,8,12.307,16,0,15,4,1,0,0.237,0.188,0.227
18,2.77,13,8.725,17,1,13,3,3,0,0.282,0.271,0.29
19,2.45,15,13.808,14,3,11,3,2,1,0.305,0.325,0.339
20,1.804,13,10.644,14,1,7,9,3,0,0.26,0.254,0.269
21,1.316,15,12.314,9,1,15,1,3,0,0.3,0.275,0.305
22,1.151,14,11.388,12,4,12,2,2,0,0.297,0.329,0.344
23,0.901,15,9.032,12,0,12,7,1,0,0.271,0.217,0.261
