Trial_Number,C_PARAM,DEPTH_LIMIT,MCTS_Wins,Heuristic_Losses,Draws,Optuna_Score
0,0.345,6,1,9,0,0.1
1,0.787,6,2,8,0,0.2
2,2.873,8,0,7,0,0.0
3,2.645,4,2,8,0,0.2
4,0.996,15,1,9,0,0.1
5,1.829,14,1,9,0,0.1
6,2.142,15,0,7,0,0.0
7,1.783,4,1,9,0,0.1
8,0.848,17,0,7,0,0.0
9,0.392,19,0,7,0,0.0
10,1.131,10,0,7,0,0.0
11,2.926,4,3,7,0,0.3
12,2.368,3,1,9,0,0.1
13,1.384,7,2,8,0,0.2
14,0.692,10,3,7,0,0.3
15,0.177,11,2,8,0,0.2
16,1.451,9,3,7,0,0.3
17,0.641,12,2,8,0,0.2
18,2.207,13,4,6,0,0.4
19,2.416,13,2,8,0,0.2
20,2.819,17,2,8,0,0.2
21,2.086,11,0,7,0,0.0
22,2.987,9,0,7,0,0.0
23,2.565,13,2,8,0,0.2
24,1.738,20,1,9,0,0.1
25,2.278,5,4,6,0,0.4
26,2.052,5,0,7,0,0.0
27,2.368,3,4,6,0,0.4
28,2.289,3,3,7,0,0.3
29,2.622,6,1,9,0,0.1
30,1.987,7,0,7,0,0.0
31,2.264,5,2,8,0,0.2
32,2.474,3,1,9,0,0.1
33,2.745,6,4,6,0,0.4
34,2.676,6,4,6,0,0.4
35,2.766,5,0,7,0,0.0
36,1.931,8,2,8,0,0.2
37,1.623,7,0,7,0,0.0
38,2.257,4,3,7,0,0.3
39,2.505,15,2,8,0,0.2
